"","Group.1","x"
"750","33041",1
"751","33042",260
"752","33043",428
"753","33050",37
"754","33054",261
"755","33055",296
"756","33056",598
"757","33060",203
"758","33062",170
"759","33063",192
"760","33064",321
"761","33065",92
"762","33066",283
"763","33067",70
"764","33068",621
"765","33069",191
"766","33070",576
"767","33071",310
"768","33073",432
"769","33076",351
"770","33077",1
"771","33084",1
"772","33102",1
"773","33111",1
"774","33114",1
"775","33116",1
"776","33122",114
"777","33125",92
"778","33126",236
"779","33127",259
"780","33128",284
"781","33129",326
"782","33130",147
"783","33131",247
"784","33132",347
"785","33133",158
"786","33134",412
"787","33135",344
"788","33136",588
"789","33137",159
"790","33138",236
"791","33139",537
"792","33140",318
"793","33141",329
"794","33142",556
"795","33143",202
"796","33144",507
"797","33145",92
"798","33146",339
"799","33147",328
"800","33149",284
"801","33150",48
"802","33152",214
"803","33154",15
"804","33155",568
"805","33156",352
"806","33157",480
"807","33158",1
"808","33159",112
"809","33160",170
"810","33161",92
"811","33162",386
"812","33165",339
"813","33166",484
"814","33167",372
"815","33168",126
"816","33169",81
"817","33170",2
"818","33172",411
"819","33173",643
"820","33174",136
"821","33175",126
"822","33176",356
"823","33177",295
"824","33178",92
"825","33179",373
"826","33180",476
"827","33181",483
"828","33182",214
"829","33183",643
"830","33184",307
"831","33185",588
"832","33186",463
"833","33187",576
"834","33189",137
"835","33193",542
"836","33196",362
"837","33301",103
"838","33304",374
"839","33305",329
"840","33306",317
"841","33308",237
"842","33309",170
"843","33311",473
"844","33312",313
"845","33313",330
"846","33314",159
"847","33315",351
"848","33316",288
"849","33317",362
"850","33319",48
"851","33321",103
"852","33322",26
"853","33323",189
"854","33324",170
"855","33325",621
"856","33326",351
"857","33327",394
"858","33328",48
"859","33330",587
"860","33331",610
"861","33332",326
"862","33334",307
"863","33346",1
"864","33351",354
"865","33388",384
"866","33401",261
"867","33403",48
"868","33404",406
"869","33405",192
"870","33406",295
"871","33407",192
"872","33408",211
"873","33409",339
"874","33410",366
"875","33411",239
"876","33412",2
"877","33413",564
"878","33414",396
"879","33415",126
"880","33416",1
"881","33417",542
"882","33418",599
"883","33420",1
"884","33421",1
"885","33425",1
"886","33426",374
"887","33428",384
"888","33430",373
"889","33431",458
"890","33432",214
"891","33433",59
"892","33434",59
"893","33435",395
"894","33436",588
"895","33437",474
"896","33438",112
"897","33440",609
"898","33441",362
"899","33442",115
"900","33444",340
"901","33445",340
"902","33446",125
"903","33448",1
"904","33449",2
"905","33455",284
"906","33458",388
"907","33460",103
"908","33461",384
"909","33462",181
"910","33463",384
"911","33467",158
"912","33468",1
"913","33469",362
"914","33470",519
"915","33471",2
"916","33472",260
"917","33473",1
"918","33474",1
"919","33475",1
"920","33476",326
"921","33477",3
"922","33478",554
"923","33480",330
"924","33483",300
"925","33484",621
"926","33486",610
"927","33487",351
"928","33493",112
"929","33496",542
"930","33498",576
"931","33510",554
"932","33511",500
"933","33513",587
"934","33514",1
"935","33521",1
"936","33523",632
"937","33525",158
"938","33527",306
"939","33534",428
"940","33540",215
"941","33541",576
"942","33542",317
"943","33543",395
"944","33544",284
"945","33545",1
"946","33547",406
"947","33548",372
"948","33549",339
"949","33556",621
"950","33558",295
"951","33559",520
"952","33563",340
"953","33565",2
"954","33566",295
"955","33567",283
"956","33569",439
"957","33570",307
"958","33571",1
"959","33572",508
"960","33573",305
"961","33576",112
"962","33578",598
"963","33579",113
"964","33583",1
"965","33584",125
"966","33587",1
"967","33592",112
"968","33594",351
"969","33596",428
"970","33598",112
"971","33601",1
"972","33602",643
"973","33603",329
"974","33604",222
"975","33605",362
"976","33606",340
"977","33607",355
"978","33608",2
"979","33609",313
"980","33610",180
"981","33611",148
"982","33612",531
"983","33613",406
"984","33614",547
"985","33615",351
"986","33616",214
"987","33617",92
"988","33618",159
"989","33619",126
"990","33620",1
"991","33621",112
"992","33624",318
"993","33625",290
"994","33626",587
"995","33629",298
"996","33634",200
"997","33635",643
"998","33637",214
"999","33647",362
"1000","33701",136
"1001","33702",632
"1002","33703",599
"1003","33704",26
"1004","33705",306
"1005","33706",147
"1006","33707",362
"1007","33708",136
"1008","33709",103
"1009","33710",322
"1010","33711",587
"1011","33712",307
"1012","33713",125
"1013","33714",260
"1014","33715",2
"1015","33716",428
"1016","33736",1
"1017","33741",1
"1018","33755",59
"1019","33756",169
"1020","33757",1
"1021","33759",351
"1022","33760",417
"1023","33761",330
"1024","33762",576
"1025","33763",394
"1026","33764",273
"1027","33765",192
"1028","33767",587
"1029","33770",126
"1030","33771",277
"1031","33772",37
"1032","33773",317
"1033","33774",541
"1034","33776",112
"1035","33777",372
"1036","33778",541
"1037","33781",295
"1038","33782",307
"1039","33785",326
"1040","33801",384
"1041","33802",1
"1042","33803",239
"1043","33805",249
"1044","33809",263
"1045","33810",520
"1046","33811",576
"1047","33812",2
"1048","33813",103
"1049","33815",598
"1050","33820",1
"1051","33823",103
"1052","33825",610
"1053","33827",112
"1054","33830",307
"1055","33831",1
"1056","33834",113
"1057","33835",1
"1058","33837",565
"1059","33838",224
"1060","33839",112
"1061","33841",113
"1062","33843",261
"1063","33844",339
"1064","33850",113
"1065","33851",1
"1066","33852",599
"1067","33853",373
"1068","33859",296
"1069","33860",317
"1070","33868",326
"1071","33870",298
"1072","33872",214
"1073","33873",610
"1074","33875",1
"1075","33876",112
"1076","33880",225
"1077","33881",81
"1078","33882",1
"1079","33884",103
"1080","33890",112
"1081","33896",113
"1082","33897",2
"1083","33898",215
"1084","33901",451
"1085","33903",373
"1086","33904",37
"1087","33905",338
"1088","33907",296
"1089","33908",299
"1090","33909",296
"1091","33912",81
"1092","33913",136
"1093","33914",632
"1094","33916",307
"1095","33917",406
"1096","33919",621
"1097","33920",1
"1098","33921",474
"1099","33922",1
"1100","33924",1
"1101","33928",598
"1102","33931",329
"1103","33935",326
"1104","33936",372
"1105","33944",1
"1106","33948",103
"1107","33949",2
"1108","33950",125
"1109","33951",1
"1110","33952",362
"1111","33953",621
"1112","33954",113
"1113","33955",112
"1114","33956",1
"1115","33957",395
"1116","33966",282
"1117","33967",215
"1118","33970",1
"1119","33971",326
"1120","33972",112
"1121","33973",112
"1122","33974",1
"1123","33976",1
"1124","33980",576
"1125","33981",2
"1126","33982",1
"1127","33983",113
"1128","33990",428
"1129","33991",576
"1130","33993",113
"1131","34101",1
"1132","34102",528
"1133","34103",191
"1134","34104",59
"1135","34105",305
"1136","34108",407
"1137","34109",307
"1138","34110",48
"1139","34112",372
"1140","34113",496
"1141","34114",216
"1142","34116",318
"1143","34119",542
"1144","34120",394
"1145","34134",340
"1146","34135",26
"1147","34137",1
"1148","34139",2
"1149","34141",1
"1150","34142",519
"1151","34143",1
"1152","34145",473
"1153","34201",261
"1154","34202",318
"1155","34203",92
"1156","34205",170
"1157","34206",1
"1158","34207",429
"1159","34208",48
"1160","34209",59
"1161","34210",362
"1162","34211",113
"1163","34212",2
"1164","34215",215
"1165","34216",261
"1166","34217",621
"1167","34218",1
"1168","34219",113
"1169","34221",599
"1170","34222",494
"1171","34223",632
"1172","34224",621
"1173","34228",112
"1174","34229",372
"1175","34230",214
"1176","34231",458
"1177","34232",318
"1178","34233",418
"1179","34234",92
"1180","34235",372
"1181","34236",470
"1182","34237",621
"1183","34238",114
"1184","34239",214
"1185","34240",643
"1186","34241",474
"1187","34242",588
"1188","34243",125
"1189","34251",215
"1190","34266",273
"1191","34269",2
"1192","34272",1
"1193","34275",417
"1194","34276",1
"1195","34285",247
"1196","34286",326
"1197","34287",609
"1198","34292",599
"1199","34293",59
"1200","34420",519
"1201","34428",317
"1202","34429",147
"1203","34431",1
"1204","34432",508
"1205","34433",2
"1206","34436",372
"1207","34442",224
"1208","34446",317
"1209","34448",496
"1210","34449",112
"1211","34450",284
"1212","34452",1
"1213","34453",621
"1214","34461",520
"1215","34465",372
"1216","34470",277
"1217","34471",136
"1218","34472",372
"1219","34473",260
"1220","34474",314
"1221","34475",192
"1222","34476",508
