"","GEO.id2","ESTAB"
"126236","32355","3"
"126280","32358","1"
"126309","32359","4"
"126402","32362","1"
"126441","32395","1"
"126488","32401","74"
"127061","32402","1"
"127128","32404","47"
"127525","32405","100"
"128180","32406","1"
"128199","32407","40"
"128574","32408","25"
"128866","32409","8"
"128951","32410","2"
"129009","32413","51"
"129451","32420","2"
"129521","32421","3"
"129581","32422","1"
"129600","32424","12"
"129816","32425","27"
"130046","32426","2"
"130074","32427","1"
"130105","32428","25"
"130410","32430","1"
"130437","32431","4"
"130542","32433","21"
"130779","32434","1"
"130798","32435","6"
"130960","32438","3"
"131011","32439","7"
"131129","32440","10"
"131368","32442","3"
"131412","32443","1"
"131440","32444","27"
"131726","32445","5"
"131797","32446","28"
"132179","32447","3"
"132224","32448","12"
"132381","32455","4"
"132447","32456","18"
"132697","32459","34"
"133138","32460","3"
"133243","32461","1"
"133292","32462","4"
"133366","32463","1"
"133384","32464","1"
"133440","32465","5"
"133542","32466","4"
"133606","32501","17"
"133973","32502","12"
"134240","32503","50"
"134750","32504","122"
"135377","32505","88"
"135979","32506","43"
"136376","32507","34"
"136801","32508","2"
"136829","32513","2"
"136870","32514","39"
"137276","32516","1"
"137306","32523","1"
"137325","32526","23"
"137600","32531","4"
"137728","32533","18"
"137980","32534","41"
"138431","32535","7"
"138550","32536","58"
"139044","32539","5"
"139221","32540","4"
"139291","32541","129"
"139928","32542","5"
"140032","32544","2"
"140107","32547","48"
"140573","32548","76"
"141148","32549","3"
"141210","32550","70"
"141630","32561","25"
"141927","32563","15"
"142255","32564","1"
"142273","32565","7"
"142423","32566","24"
"142688","32567","3"
"142754","32568","4"
"142809","32569","30"
"143167","32570","32"
"143541","32571","38"
"143984","32577","3"
"144092","32578","34"
"144495","32579","2"
"144571","32580","2"
"144681","32583","16"
"144901","32601","38"
"145385","32602","1"
"145402","32603","3"
"145513","32605","67"
"146035","32606","30"
"146461","32607","24"
"146804","32608","70"
"147302","32609","69"
"147863","32611","1"
"147898","32615","18"
"148188","32616","3"
"148251","32617","3"
"148328","32618","7"
"148449","32619","4"
"148525","32621","6"
"148629","32622","2"
"148671","32625","2"
"148758","32626","22"
"149108","32628","9"
"149247","32634","1"
"149265","32640","10"
"149392","32641","10"
"149567","32643","12"
"149860","32644","2"
