"","GEO.id2","ESTAB"
"265490","33455","4"
"265821","33458","9"
"266420","33460","5"
"266877","33461","15"
"267372","33462","6"
"267866","33463","7"
"268399","33467","9"
"268947","33469","3"
"269371","33470","3"
"269611","33471","2"
"269715","33472","1"
"270073","33477","6"
"270435","33478","1"
"270693","33480","2"
"271120","33483","5"
"271689","33484","2"
"272043","33486","1"
"272338","33487","6"
"272763","33496","2"
"272974","33498","2"
"273296","33510","1"
"273557","33511","8"
"274279","33513","3"
"274921","33525","1"
"275256","33527","2"
"275473","33534","1"
"275729","33540","1"
"275870","33541","2"
"276227","33542","3"
"276540","33543","2"
"276993","33544","1"
"277587","33548","1"
"277830","33549","4"
"278234","33556","6"
"279032","33563","4"
"279431","33565","1"
"279580","33566","1"
"279937","33567","2"
"280110","33568","1"
"280153","33569","5"
"280448","33570","1"
"280716","33571","1"
"280757","33572","1"
"281256","33576","1"
"281391","33578","3"
"281753","33579","1"
"281886","33584","5"
"282375","33594","4"
"282734","33596","2"
"283207","33602","2"
"283575","33603","7"
"283911","33604","8"
"284373","33605","1"
"284720","33606","5"
"285094","33607","10"
"285769","33609","7"
"286364","33610","3"
"286854","33611","6"
"287303","33612","11"
"288022","33613","4"
"288477","33614","5"
"289035","33615","6"
"289475","33616","2"
"289577","33617","3"
"290025","33618","4"
"290587","33619","7"
"291247","33624","2"
"291547","33625","4"
"292103","33626","6"
"292477","33629","12"
"293028","33634","3"
"293496","33635","2"
"293967","33647","8"
"294487","33701","11"
"294929","33702","4"
"295298","33703","3"
"295573","33704","6"
"295969","33705","2"
"296222","33706","4"
"296598","33707","5"
"297006","33708","5"
"297418","33709","4"
"297862","33710","12"
"298479","33711","2"
"298841","33712","4"
"299161","33713","6"
"299664","33714","7"
"300001","33715","1"
"300422","33755","3"
"300791","33756","5"
"301321","33759","3"
"301785","33760","3"
"302093","33761","6"
"302684","33762","2"
"302967","33763","1"
"303179","33764","2"
"303626","33765","10"
"304180","33767","3"
"304412","33770","4"
"304920","33771","3"
"305437","33772","3"
"305852","33773","1"
"306207","33774","2"
"306504","33776","1"
"306854","33778","1"
"307203","33781","10"
"307831","33782","3"
"308244","33801","4"
"308828","33803","6"
"309455","33805","2"
"309788","33809","7"
"310369","33810","1"
"310558","33811","3"
"310876","33813","2"
"311316","33815","3"
"311625","33823","8"
"312068","33825","1"
"312463","33830","1"
"312891","33834","1"
"313034","33837","1"
"313619","33841","1"
"313773","33843","1"
"313938","33844","3"
"314612","33852","2"
"314932","33853","3"
"315360","33859","1"
"315660","33860","2"
"316049","33870","13"
"316633","33872","2"
"316732","33873","4"
"317089","33876","1"
"317197","33880","7"
"317796","33881","3"
"318217","33884","1"
"318635","33890","2"
"318835","33897","1"
"318983","33898","1"
"319102","33901","12"
"319839","33903","5"
"320312","33904","6"
"320797","33905","5"
"321265","33907","8"
"321910","33908","4"
"322528","33909","1"
"322918","33912","2"
"323430","33913","5"
"323822","33914","5"
"324128","33915","1"
"324143","33916","2"
"324523","33917","4"
"324762","33919","3"
"325119","33920","3"
"325185","33921","1"
"325306","33922","1"
"325403","33928","1"
"326025","33931","2"
"326351","33935","4"
"326914","33948","6"
"327431","33950","6"
"327950","33952","2"
"328399","33953","2"
"328664","33954","2"
"328986","33957","2"
"329336","33960","1"
"329351","33966","2"
"329736","33967","3"
"329917","33971","4"
